timestamp,rawAccX,rawAccY,rawAccZ,rawGyroX,rawGyroY,rawGyroZ,rawKemiringanX,rawKemiringanY,offsetKemiringanX,offsetKemiringanY,kemiringanX,kemiringanY,gyroOffsetX,gyroOffsetY,gyroOffsetZ,kecepatanRotasiX,kecepatanRotasiY,kecepatanRotasiZ,label
87033,-10128,120,13128,659,-28,99,0.52,37.65,4.35,40.47,-3.83,-2.83,579.51,-220.87,124.09,0.61,1.47,-0.19,"berdiri_bungkuk"
87237,-10132,696,13216,367,-71,-255,3.01,37.44,4.35,40.47,-1.34,-3.04,579.51,-220.87,124.09,-1.62,1.14,-2.89,"berdiri_bungkuk"
87440,-10188,404,12992,514,-211,-310,1.78,38.09,4.35,40.47,-2.57,-2.38,579.51,-220.87,124.09,-0.50,0.08,-3.31,"berdiri_bungkuk"
87641,-10140,-264,13032,448,-229,341,-1.16,37.88,4.35,40.47,-5.51,-2.59,579.51,-220.87,124.09,-1.00,-0.06,1.66,"berdiri_bungkuk"
87845,-10512,232,12592,886,153,92,1.06,39.85,4.35,40.47,-3.29,-0.62,579.51,-220.87,124.09,2.34,2.85,-0.24,"berdiri_bungkuk"
88049,-10452,804,12728,845,-204,-22,3.61,39.34,4.35,40.47,-0.74,-1.14,579.51,-220.87,124.09,2.03,0.13,-1.12,"berdiri_bungkuk"
88253,-10584,544,12724,460,-364,82,2.45,39.73,4.35,40.47,-1.90,-0.75,579.51,-220.87,124.09,-0.91,-1.09,-0.32,"berdiri_bungkuk"
88457,-10428,356,12732,745,-264,141,1.60,39.31,4.35,40.47,-2.75,-1.17,579.51,-220.87,124.09,1.26,-0.33,0.13,"berdiri_bungkuk"
88661,-10492,592,12748,957,-227,-238,2.66,39.43,4.35,40.47,-1.69,-1.05,579.51,-220.87,124.09,2.88,-0.05,-2.76,"berdiri_bungkuk"
88865,-10496,796,12828,467,-48,-208,3.55,39.24,4.35,40.47,-0.80,-1.24,579.51,-220.87,124.09,-0.86,1.32,-2.54,"berdiri_bungkuk"
89069,-10712,504,12828,185,-395,-60,2.25,39.84,4.35,40.47,-2.10,-0.63,579.51,-220.87,124.09,-3.01,-1.33,-1.41,"berdiri_bungkuk"
89273,-10972,1024,12716,897,964,592,4.60,40.70,4.35,40.47,0.25,0.22,579.51,-220.87,124.09,2.42,9.04,3.57,"berdiri_bungkuk"
89477,-11016,2448,11932,-1025,58,292,11.59,42.13,4.35,40.47,7.24,1.65,579.51,-220.87,124.09,-12.25,2.13,1.28,"berdiri_bungkuk"
89681,-11636,2932,11680,2141,-13,-254,14.09,44.02,4.35,40.47,9.74,3.54,579.51,-220.87,124.09,11.92,1.59,-2.89,"berdiri_bungkuk"
89885,-11100,784,12464,18,20,925,3.60,41.63,4.35,40.47,-0.75,1.16,579.51,-220.87,124.09,-4.29,1.84,6.11,"berdiri_bungkuk"
90089,-10948,-416,12496,-1315,-790,922,-1.91,41.21,4.35,40.47,-6.26,0.73,579.51,-220.87,124.09,-14.46,-4.34,6.09,"berdiri_bungkuk"
90293,-10344,-1440,12476,1722,1447,-66,-6.58,39.48,4.35,40.47,-10.93,-1.00,579.51,-220.87,124.09,8.72,12.73,-1.45,"berdiri_bungkuk"
90495,-11484,5164,14024,-161,1777,-1241,20.22,37.54,4.35,40.47,15.86,-2.93,579.51,-220.87,124.09,-5.65,15.25,-10.42,"berdiri_bungkuk"
90697,-10516,3476,11392,2909,-1013,-176,16.97,41.44,4.35,40.47,12.62,0.97,579.51,-220.87,124.09,17.78,-6.05,-2.29,"berdiri_bungkuk"
90901,-11180,1204,12080,457,-517,466,5.69,42.64,4.35,40.47,1.34,2.17,579.51,-220.87,124.09,-0.94,-2.26,2.61,"berdiri_bungkuk"
