timestamp,rawAccX,rawAccY,rawAccZ,rawGyroX,rawGyroY,rawGyroZ,rawKemiringanX,rawKemiringanY,offsetKemiringanX,offsetKemiringanY,kemiringanX,kemiringanY,gyroOffsetX,gyroOffsetY,gyroOffsetZ,kecepatanRotasiX,kecepatanRotasiY,kecepatanRotasiZ,label
978024,-15388,-1320,184,1814,906,506,-82.06,85.05,-157.89,81.21,75.83,3.84,3309.16,-636.78,799.47,-11.41,11.78,-2.24,"berdiri_tegak"
978228,-15576,-712,-436,2296,812,828,-121.48,86.93,-157.89,81.21,36.41,5.73,3309.16,-636.78,799.47,-7.73,11.06,0.22,"berdiri_tegak"
978432,-15432,-888,-1312,2421,1798,210,-145.91,84.14,-157.89,81.21,11.98,2.93,3309.16,-636.78,799.47,-6.78,18.59,-4.50,"berdiri_tegak"
978636,-15916,-540,-1968,1795,403,136,-164.66,82.69,-157.89,81.21,-6.76,1.49,3309.16,-636.78,799.47,-11.56,7.94,-5.06,"berdiri_tegak"
978840,-15420,-128,-2060,1108,1,105,-176.44,82.38,-157.89,81.21,-18.55,1.17,3309.16,-636.78,799.47,-16.80,4.87,-5.30,"berdiri_tegak"
979041,-15036,-484,-2508,417,768,38,-169.08,80.36,-157.89,81.21,-11.18,-0.85,3309.16,-636.78,799.47,-22.08,10.72,-5.81,"berdiri_tegak"
979242,-14976,-376,-2736,1096,631,109,-172.18,79.55,-157.89,81.21,-14.28,-1.65,3309.16,-636.78,799.47,-16.89,9.68,-5.27,"berdiri_tegak"
979446,-14896,-496,-3088,160,638,-534,-170.88,78.14,-157.89,81.21,-12.98,-3.06,3309.16,-636.78,799.47,-24.04,9.73,-10.18,"berdiri_tegak"
979650,-15600,72,-3292,-517,-18,-1044,178.75,78.08,-157.89,81.21,336.64,-3.12,3309.16,-636.78,799.47,-29.21,4.72,-14.07,"berdiri_tegak"
979854,-15564,-1188,-2824,-2043,-1276,-1190,-157.18,78.86,-157.89,81.21,0.71,-2.34,3309.16,-636.78,799.47,-40.86,-4.88,-15.19,"berdiri_tegak"
980058,-15096,-2036,-2872,-4197,-1076,-1570,-144.67,76.87,-157.89,81.21,13.23,-4.33,3309.16,-636.78,799.47,-57.30,-3.35,-18.09,"berdiri_tegak"
980262,-14820,-3136,-2844,-3226,-1576,-809,-132.20,74.06,-157.89,81.21,25.69,-7.15,3309.16,-636.78,799.47,-49.89,-7.17,-12.28,"berdiri_tegak"
980466,-15324,-2724,-1952,-997,-842,240,-125.63,77.66,-157.89,81.21,32.27,-3.54,3309.16,-636.78,799.47,-32.87,-1.57,-4.27,"berdiri_tegak"
980670,-15528,-2080,-1980,881,-188,235,-133.59,79.52,-157.89,81.21,24.30,-1.68,3309.16,-636.78,799.47,-18.54,3.43,-4.31,"berdiri_tegak"
980874,-15584,-1612,-1616,680,-953,-794,-135.07,81.67,-157.89,81.21,22.82,0.46,3309.16,-636.78,799.47,-20.07,-2.41,-12.16,"berdiri_tegak"
981078,-15272,-2588,-1588,-134,-1180,-1000,-121.53,78.76,-157.89,81.21,36.36,-2.45,3309.16,-636.78,799.47,-26.28,-4.15,-13.74,"berdiri_tegak"
981281,-15168,-2956,-1056,92,-52,-188,-109.66,78.31,-157.89,81.21,48.23,-2.90,3309.16,-636.78,799.47,-24.56,4.46,-7.54,"berdiri_tegak"
981482,-15136,-2732,-1456,1005,-68,408,-118.06,78.44,-157.89,81.21,39.84,-2.76,3309.16,-636.78,799.47,-17.59,4.34,-2.99,"berdiri_tegak"
981683,-14972,-3460,-1448,2277,691,327,-112.71,75.94,-157.89,81.21,45.18,-5.27,3309.16,-636.78,799.47,-7.88,10.14,-3.61,"berdiri_tegak"
981884,-16324,-2264,-1208,3638,687,1216,-118.08,81.07,-157.89,81.21,39.81,-0.14,3309.16,-636.78,799.47,2.51,10.11,3.18,"berdiri_tegak"
982088,-15564,-2108,-2124,2463,1179,939,-135.22,79.12,-157.89,81.21,22.68,-2.09,3309.16,-636.78,799.47,-6.46,13.86,1.07,"berdiri_tegak"
982292,-15392,-1368,-2832,-1018,456,-119,-154.22,78.45,-157.89,81.21,3.68,-2.75,3309.16,-636.78,799.47,-33.03,8.34,-7.01,"berdiri_tegak"
982496,-15084,-2092,-2656,-1496,213,-322,-141.77,77.37,-157.89,81.21,16.12,-3.84,3309.16,-636.78,799.47,-36.68,6.49,-8.56,"berdiri_tegak"
982700,-15012,-2084,-2996,-1166,23,-222,-145.18,76.34,-157.89,81.21,12.72,-4.87,3309.16,-636.78,799.47,-34.16,5.04,-7.80,"berdiri_tegak"
982904,-14940,-2300,-3192,272,354,177,-144.23,75.25,-157.89,81.21,13.67,-5.96,3309.16,-636.78,799.47,-23.18,7.56,-4.75,"berdiri_tegak"
983107,-14948,-1968,-3508,1411,415,306,-150.71,74.94,-157.89,81.21,7.19,-6.27,3309.16,-636.78,799.47,-14.49,8.03,-3.77,"berdiri_tegak"
983308,-14812,-1676,-3868,1080,512,353,-156.57,74.11,-157.89,81.21,1.32,-7.09,3309.16,-636.78,799.47,-17.02,8.77,-3.41,"berdiri_tegak"
983511,-14764,-1972,-3644,710,-70,128,-151.58,74.32,-157.89,81.21,6.31,-6.88,3309.16,-636.78,799.47,-19.84,4.33,-5.13,"berdiri_tegak"
983715,-14896,-1484,-3968,677,40,176,-159.49,74.12,-157.89,81.21,-1.60,-7.08,3309.16,-636.78,799.47,-20.09,5.17,-4.76,"berdiri_tegak"
983916,-14876,-1772,-3948,137,-114,75,-155.83,73.78,-157.89,81.21,2.07,-7.42,3309.16,-636.78,799.47,-24.21,3.99,-5.53,"berdiri_tegak"
984118,-14652,-1792,-3720,52,-579,50,-154.28,74.26,-157.89,81.21,3.61,-6.94,3309.16,-636.78,799.47,-24.86,0.44,-5.72,"berdiri_tegak"
984322,-14816,-1492,-3516,160,-444,1,-157.01,75.54,-157.89,81.21,0.89,-5.66,3309.16,-636.78,799.47,-24.04,1.47,-6.10,"berdiri_tegak"
984526,-14908,-1844,-3768,404,-153,85,-153.92,74.28,-157.89,81.21,3.97,-6.92,3309.16,-636.78,799.47,-22.18,3.69,-5.45,"berdiri_tegak"
984730,-15056,-1596,-3500,976,182,197,-155.49,75.67,-157.89,81.21,2.41,-5.54,3309.16,-636.78,799.47,-17.81,6.25,-4.60,"berdiri_tegak"
984935,-14976,-2112,-3816,2178,-789,217,-151.04,73.76,-157.89,81.21,6.86,-7.44,3309.16,-636.78,799.47,-8.63,-1.16,-4.45,"berdiri_tegak"
985139,-14936,-2268,-3740,3306,-34,555,-148.77,73.68,-157.89,81.21,9.13,-7.53,3309.16,-636.78,799.47,-0.02,4.60,-1.87,"berdiri_tegak"
985343,-14932,-2612,-3228,4886,381,1125,-141.02,74.46,-157.89,81.21,16.87,-6.75,3309.16,-636.78,799.47,12.04,7.77,2.48,"berdiri_tegak"
985547,-15028,-2280,-3356,4725,-282,702,-145.81,74.89,-157.89,81.21,12.08,-6.31,3309.16,-636.78,799.47,10.81,2.71,-0.74,"berdiri_tegak"
985751,-14896,-896,-2320,6905,-545,1930,-158.88,80.52,-157.89,81.21,-0.99,-0.68,3309.16,-636.78,799.47,27.45,0.70,8.63,"berdiri_tegak"
985955,-15316,-676,-2960,6049,-20,2372,-167.14,78.79,-157.89,81.21,-9.24,-2.42,3309.16,-636.78,799.47,20.91,4.71,12.00,"berdiri_tegak"
986159,-14764,-652,-3632,3242,521,920,-169.82,75.97,-157.89,81.21,-11.93,-5.24,3309.16,-636.78,799.47,-0.51,8.84,0.92,"berdiri_tegak"
986363,-15156,268,-3444,3841,847,666,175.55,77.16,-157.89,81.21,333.44,-4.04,3309.16,-636.78,799.47,4.06,11.33,-1.02,"berdiri_tegak"
