timestamp,rawAccX,rawAccY,rawAccZ,rawGyroX,rawGyroY,rawGyroZ,rawKemiringanX,rawKemiringanY,offsetKemiringanX,offsetKemiringanY,kemiringanX,kemiringanY,gyroOffsetX,gyroOffsetY,gyroOffsetZ,kecepatanRotasiX,kecepatanRotasiY,kecepatanRotasiZ,label
2855796,-14172,348,-6044,616,-305,36,176.70,66.87,178.34,66.07,-1.64,0.80,424.92,-265.20,16.23,1.46,-0.30,0.15,"berdiri_tegak"
2856000,-14188,496,-5872,743,-528,178,175.17,67.44,178.34,66.07,-3.17,1.37,424.92,-265.20,16.23,2.43,-2.01,1.23,"berdiri_tegak"
2856201,-14232,472,-5796,249,-521,98,175.34,67.78,178.34,66.07,-3.00,1.70,424.92,-265.20,16.23,-1.34,-1.95,0.62,"berdiri_tegak"
2856402,-14568,980,-5556,-20,-534,-95,170.00,68.83,178.34,66.07,-8.35,2.76,424.92,-265.20,16.23,-3.40,-2.05,-0.85,"berdiri_tegak"
2856603,-14544,420,-5604,509,-346,10,175.71,68.87,178.34,66.07,-2.63,2.80,424.92,-265.20,16.23,0.64,-0.62,-0.05,"berdiri_tegak"
2856807,-14668,760,-5424,1500,-247,736,172.02,69.52,178.34,66.07,-6.32,3.45,424.92,-265.20,16.23,8.21,0.14,5.49,"berdiri_tegak"
2857008,-14576,552,-5412,1328,-32,524,174.18,69.53,178.34,66.07,-4.17,3.46,424.92,-265.20,16.23,6.89,1.78,3.88,"berdiri_tegak"
2857209,-14300,572,-5796,1023,-213,39,174.36,67.84,178.34,66.07,-3.98,1.77,424.92,-265.20,16.23,4.57,0.40,0.17,"berdiri_tegak"
2857410,-14420,708,-5748,561,-79,-329,172.98,68.12,178.34,66.07,-5.37,2.05,424.92,-265.20,16.23,1.04,1.42,-2.64,"berdiri_tegak"
2857614,-14452,924,-5652,693,-786,-104,170.72,68.38,178.34,66.07,-7.63,2.31,424.92,-265.20,16.23,2.05,-3.98,-0.92,"berdiri_tegak"
2857818,-14404,1052,-5412,-1201,-400,-787,169.00,69.06,178.34,66.07,-9.34,2.98,424.92,-265.20,16.23,-12.41,-1.03,-6.13,"berdiri_tegak"
2858019,-14480,12,-5888,120,377,-385,179.88,67.87,178.34,66.07,1.54,1.80,424.92,-265.20,16.23,-2.33,4.90,-3.06,"berdiri_tegak"
2858220,-14464,136,-5720,861,-18,-199,178.64,68.42,178.34,66.07,0.29,2.35,424.92,-265.20,16.23,3.33,1.89,-1.64,"berdiri_tegak"
2858421,-14624,-264,-5724,1068,-404,18,-177.36,68.60,178.34,66.07,-355.70,2.53,424.92,-265.20,16.23,4.91,-1.06,0.01,"berdiri_tegak"
2858625,-14344,12,-5640,374,-88,-55,179.88,68.54,178.34,66.07,1.53,2.46,424.92,-265.20,16.23,-0.39,1.35,-0.54,"berdiri_tegak"
2858826,-14412,-88,-5548,354,-325,-1,-179.09,68.94,178.34,66.07,-357.43,2.87,424.92,-265.20,16.23,-0.54,-0.46,-0.13,"berdiri_tegak"
2859029,-14316,244,-5652,460,-317,78,177.53,68.44,178.34,66.07,-0.82,2.37,424.92,-265.20,16.23,0.27,-0.40,0.47,"berdiri_tegak"
2859233,-14456,-56,-5660,1169,-268,291,-179.43,68.62,178.34,66.07,-357.78,2.55,424.92,-265.20,16.23,5.68,-0.02,2.10,"berdiri_tegak"
2859438,-14412,316,-5608,934,-48,421,176.77,68.71,178.34,66.07,-1.57,2.64,424.92,-265.20,16.23,3.89,1.66,3.09,"berdiri_tegak"
2859642,-14472,-24,-5796,783,249,-128,-179.76,68.17,178.34,66.07,-358.11,2.10,424.92,-265.20,16.23,2.73,3.93,-1.10,"berdiri_tegak"
2859845,-14540,96,-5948,1484,35,389,179.08,67.75,178.34,66.07,0.73,1.68,424.92,-265.20,16.23,8.08,2.29,2.85,"berdiri_tegak"
2860046,-14288,108,-5960,443,-250,108,178.96,67.35,178.34,66.07,0.62,1.28,424.92,-265.20,16.23,0.14,0.12,0.70,"berdiri_tegak"
2860247,-14252,228,-6012,256,-96,-33,177.83,67.11,178.34,66.07,-0.52,1.04,424.92,-265.20,16.23,-1.29,1.29,-0.38,"berdiri_tegak"
2860448,-14428,72,-5852,468,-194,101,179.30,67.92,178.34,66.07,0.95,1.85,424.92,-265.20,16.23,0.33,0.54,0.65,"berdiri_tegak"
2860652,-14428,276,-5972,538,-450,203,177.35,67.49,178.34,66.07,-0.99,1.42,424.92,-265.20,16.23,0.86,-1.41,1.43,"berdiri_tegak"
2860853,-14376,292,-5952,661,-126,176,177.19,67.48,178.34,66.07,-1.15,1.41,424.92,-265.20,16.23,1.80,1.06,1.22,"berdiri_tegak"
2861057,-14316,248,-6120,504,-258,124,177.68,66.84,178.34,66.07,-0.66,0.77,424.92,-265.20,16.23,0.60,0.05,0.82,"berdiri_tegak"
2861261,-14152,388,-5952,478,-198,146,176.27,67.15,178.34,66.07,-2.07,1.07,424.92,-265.20,16.23,0.41,0.51,0.99,"berdiri_tegak"
2861465,-14232,260,-5820,491,-214,56,177.44,67.74,178.34,66.07,-0.90,1.67,424.92,-265.20,16.23,0.50,0.39,0.30,"berdiri_tegak"
2861668,-14284,320,-5856,627,-225,12,176.87,67.68,178.34,66.07,-1.47,1.61,424.92,-265.20,16.23,1.54,0.31,-0.03,"berdiri_tegak"
2861869,-14228,292,-6016,573,-112,59,177.22,67.06,178.34,66.07,-1.12,0.98,424.92,-265.20,16.23,1.13,1.17,0.33,"berdiri_tegak"
2862073,-14180,316,-6020,627,-263,81,177.00,66.97,178.34,66.07,-1.35,0.90,424.92,-265.20,16.23,1.54,0.02,0.49,"berdiri_tegak"
2862277,-14196,60,-5852,665,-128,108,179.41,67.60,178.34,66.07,1.07,1.53,424.92,-265.20,16.23,1.83,1.05,0.70,"berdiri_tegak"
2862481,-14184,160,-6012,599,-142,48,178.48,67.02,178.34,66.07,0.13,0.95,424.92,-265.20,16.23,1.33,0.94,0.24,"berdiri_tegak"
2862685,-14192,260,-6144,527,-149,74,177.58,66.57,178.34,66.07,-0.77,0.50,424.92,-265.20,16.23,0.78,0.89,0.44,"berdiri_tegak"
2862889,-14384,400,-5964,463,-207,-58,176.16,67.43,178.34,66.07,-2.18,1.36,424.92,-265.20,16.23,0.29,0.44,-0.57,"berdiri_tegak"
2863093,-14364,120,-5916,300,-183,-28,178.84,67.61,178.34,66.07,0.49,1.54,424.92,-265.20,16.23,-0.95,0.63,-0.34,"berdiri_tegak"
2863297,-14236,84,-6028,467,-254,65,179.20,67.05,178.34,66.07,0.86,0.98,424.92,-265.20,16.23,0.32,0.09,0.37,"berdiri_tegak"
2863500,-14172,260,-6096,809,-221,186,177.56,66.71,178.34,66.07,-0.79,0.64,424.92,-265.20,16.23,2.93,0.34,1.30,"berdiri_tegak"
2863701,-14420,384,-5748,856,-424,149,176.18,68.22,178.34,66.07,-2.17,2.15,424.92,-265.20,16.23,3.29,-1.21,1.01,"berdiri_tegak"
2863904,-14552,184,-5968,1238,-767,680,178.23,67.69,178.34,66.07,-0.11,1.62,424.92,-265.20,16.23,6.21,-3.83,5.07,"berdiri_tegak"
2864105,-14316,412,-5516,2315,-1002,1270,175.73,68.87,178.34,66.07,-2.62,2.80,424.92,-265.20,16.23,14.43,-5.62,9.57,"berdiri_tegak"
2864309,-14652,608,-5168,3508,-1354,2233,173.29,70.45,178.34,66.07,-5.05,4.38,424.92,-265.20,16.23,23.53,-8.31,16.92,"berdiri_tegak"
2864517,-14312,1356,-5052,5096,-1124,2469,164.98,69.92,178.34,66.07,-13.37,3.85,424.92,-265.20,16.23,35.66,-6.56,18.72,"berdiri_tegak"
2864721,-14140,2368,-5008,6950,-120,1916,154.69,68.61,178.34,66.07,-23.65,2.54,424.92,-265.20,16.23,49.81,1.11,14.50,"berdiri_tegak"
2864925,-13596,2732,-5708,8314,794,2314,154.42,65.04,178.34,66.07,-23.92,-1.03,424.92,-265.20,16.23,60.22,8.09,17.54,"berdiri_tegak"
2865129,-13424,2256,-5968,7617,738,2279,159.29,64.58,178.34,66.07,-19.05,-1.49,424.92,-265.20,16.23,54.90,7.66,17.27,"berdiri_tegak"
2865333,-15116,136,-5948,4684,-115,1855,178.69,68.52,178.34,66.07,0.35,2.44,424.92,-265.20,16.23,32.51,1.15,14.04,"berdiri_tegak"
2865534,-13932,-552,-5944,3802,-89,496,-174.69,66.81,178.34,66.07,-353.04,0.73,424.92,-265.20,16.23,25.78,1.35,3.66,"berdiri_tegak"
2865735,-13852,-264,-6764,3156,759,566,-177.76,63.96,178.34,66.07,-356.11,-2.11,424.92,-265.20,16.23,20.85,7.82,4.20,"berdiri_tegak"
2865936,-13936,-816,-6568,133,-117,-555,-172.92,64.60,178.34,66.07,-351.26,-1.48,424.92,-265.20,16.23,-2.23,1.13,-4.36,"berdiri_tegak"
2866141,-13824,-272,-6680,-569,-993,-654,-177.67,64.19,178.34,66.07,-356.01,-1.88,424.92,-265.20,16.23,-7.59,-5.56,-5.12,"berdiri_tegak"
2866342,-13948,-188,-6596,-252,-1149,-345,-178.37,64.68,178.34,66.07,-356.71,-1.39,424.92,-265.20,16.23,-5.17,-6.75,-2.76,"berdiri_tegak"
2866544,-14108,-492,-6488,170,-111,-103,-175.66,65.24,178.34,66.07,-354.01,-0.83,424.92,-265.20,16.23,-1.95,1.18,-0.91,"berdiri_tegak"
2866748,-13800,-296,-6852,469,305,118,-177.53,63.57,178.34,66.07,-355.87,-2.50,424.92,-265.20,16.23,0.34,4.35,0.78,"berdiri_tegak"
2866952,-13976,-336,-6744,912,253,451,-177.15,64.21,178.34,66.07,-355.49,-1.86,424.92,-265.20,16.23,3.72,3.96,3.32,"berdiri_tegak"
2867156,-14064,-196,-6592,1350,-284,597,-178.30,64.88,178.34,66.07,-356.64,-1.19,424.92,-265.20,16.23,7.06,-0.14,4.43,"berdiri_tegak"
2867357,-13948,-20,-6764,1285,-205,625,-179.83,64.13,178.34,66.07,-358.17,-1.94,424.92,-265.20,16.23,6.57,0.46,4.65,"berdiri_tegak"
