timestamp,rawAccX,rawAccY,rawAccZ,rawGyroX,rawGyroY,rawGyroZ,rawKemiringanX,rawKemiringanY,offsetKemiringanX,offsetKemiringanY,kemiringanX,kemiringanY,gyroOffsetX,gyroOffsetY,gyroOffsetZ,kecepatanRotasiX,kecepatanRotasiY,kecepatanRotasiZ,label
1969818,-14256,84,6880,721,-135,300,0.70,64.24,-4.00,64.47,4.70,-0.24,569.78,-247.19,168.81,1.15,0.86,1.00,"duduk_bungkuk"
1970022,-14336,548,6916,372,-323,180,4.53,64.18,-4.00,64.47,8.53,-0.30,569.78,-247.19,168.81,-1.51,-0.58,0.09,"duduk_bungkuk"
1970226,-14428,352,6708,428,-173,-114,3.00,65.03,-4.00,64.47,7.00,0.56,569.78,-247.19,168.81,-1.08,0.57,-2.16,"duduk_bungkuk"
1970430,-14348,600,6824,706,-211,45,5.02,64.48,-4.00,64.47,9.02,0.00,569.78,-247.19,168.81,1.04,0.28,-0.95,"duduk_bungkuk"
1970633,-14364,388,6580,509,-59,47,3.37,65.35,-4.00,64.47,7.37,0.88,569.78,-247.19,168.81,-0.46,1.44,-0.93,"duduk_bungkuk"
1970834,-14456,428,6756,603,-117,89,3.62,64.91,-4.00,64.47,7.62,0.43,569.78,-247.19,168.81,0.25,0.99,-0.61,"duduk_bungkuk"
1971035,-14392,524,6652,559,-73,52,4.50,65.13,-4.00,64.47,8.50,0.65,569.78,-247.19,168.81,-0.08,1.33,-0.89,"duduk_bungkuk"
1971238,-14476,424,6600,477,-271,77,3.68,65.45,-4.00,64.47,7.67,0.97,569.78,-247.19,168.81,-0.71,-0.18,-0.70,"duduk_bungkuk"
1971442,-14496,440,6868,535,-211,106,3.67,64.60,-4.00,64.47,7.66,0.13,569.78,-247.19,168.81,-0.27,0.28,-0.48,"duduk_bungkuk"
1971646,-14464,496,6688,536,-203,64,4.24,65.12,-4.00,64.47,8.24,0.65,569.78,-247.19,168.81,-0.26,0.34,-0.80,"duduk_bungkuk"
1971850,-14528,516,6768,567,-166,59,4.36,64.96,-4.00,64.47,8.36,0.48,569.78,-247.19,168.81,-0.02,0.62,-0.84,"duduk_bungkuk"
1972054,-14460,468,6764,575,-155,85,3.96,64.88,-4.00,64.47,7.96,0.40,569.78,-247.19,168.81,0.04,0.70,-0.64,"duduk_bungkuk"
1972258,-14380,436,6692,592,-224,13,3.73,65.00,-4.00,64.47,7.72,0.52,569.78,-247.19,168.81,0.17,0.18,-1.19,"duduk_bungkuk"
1972462,-14352,496,6644,528,-172,61,4.27,65.10,-4.00,64.47,8.27,0.62,569.78,-247.19,168.81,-0.32,0.57,-0.82,"duduk_bungkuk"
1972663,-14400,324,6652,515,-150,30,2.79,65.18,-4.00,64.47,6.79,0.71,569.78,-247.19,168.81,-0.42,0.74,-1.06,"duduk_bungkuk"
1972867,-14324,536,6680,569,-185,27,4.59,64.93,-4.00,64.47,8.58,0.45,569.78,-247.19,168.81,-0.01,0.47,-1.08,"duduk_bungkuk"
1973071,-14512,476,6624,535,-158,17,4.11,65.41,-4.00,64.47,8.11,0.94,569.78,-247.19,168.81,-0.27,0.68,-1.16,"duduk_bungkuk"
1973275,-14380,524,6760,520,-100,73,4.43,64.76,-4.00,64.47,8.43,0.28,569.78,-247.19,168.81,-0.38,1.12,-0.73,"duduk_bungkuk"
1973479,-14332,456,6744,576,-244,101,3.87,64.75,-4.00,64.47,7.87,0.28,569.78,-247.19,168.81,0.05,0.02,-0.52,"duduk_bungkuk"
1973683,-14508,588,6764,528,-178,41,4.97,64.92,-4.00,64.47,8.97,0.45,569.78,-247.19,168.81,-0.32,0.53,-0.98,"duduk_bungkuk"
1973887,-14364,544,6624,541,-232,38,4.69,65.17,-4.00,64.47,8.69,0.70,569.78,-247.19,168.81,-0.22,0.12,-1.00,"duduk_bungkuk"
1974091,-14344,388,6604,499,-313,29,3.36,65.24,-4.00,64.47,7.36,0.77,569.78,-247.19,168.81,-0.54,-0.50,-1.07,"duduk_bungkuk"
1974295,-14436,520,6712,564,-229,83,4.43,65.00,-4.00,64.47,8.43,0.52,569.78,-247.19,168.81,-0.04,0.14,-0.66,"duduk_bungkuk"
1974496,-14420,364,6860,502,-266,76,3.04,64.53,-4.00,64.47,7.03,0.05,569.78,-247.19,168.81,-0.52,-0.14,-0.71,"duduk_bungkuk"
1974697,-14360,604,6764,525,-161,68,5.10,64.69,-4.00,64.47,9.10,0.22,569.78,-247.19,168.81,-0.34,0.66,-0.77,"duduk_bungkuk"
1974905,-14376,600,6800,538,-257,64,5.04,64.60,-4.00,64.47,9.04,0.13,569.78,-247.19,168.81,-0.24,-0.07,-0.80,"duduk_bungkuk"
1975107,-14456,556,6852,518,-193,40,4.64,64.57,-4.00,64.47,8.64,0.09,569.78,-247.19,168.81,-0.40,0.41,-0.98,"duduk_bungkuk"
1975311,-14360,360,6640,575,-163,14,3.10,65.15,-4.00,64.47,7.10,0.68,569.78,-247.19,168.81,0.04,0.64,-1.18,"duduk_bungkuk"
1975515,-14388,664,6700,537,-196,-10,5.66,64.92,-4.00,64.47,9.66,0.45,569.78,-247.19,168.81,-0.25,0.39,-1.36,"duduk_bungkuk"
1975719,-14388,404,6796,538,-229,28,3.40,64.68,-4.00,64.47,7.40,0.20,569.78,-247.19,168.81,-0.24,0.14,-1.07,"duduk_bungkuk"
1975923,-14460,568,6828,593,-183,35,4.76,64.65,-4.00,64.47,8.75,0.17,569.78,-247.19,168.81,0.18,0.49,-1.02,"duduk_bungkuk"
1976127,-14424,424,6724,580,-196,32,3.61,64.96,-4.00,64.47,7.61,0.49,569.78,-247.19,168.81,0.08,0.39,-1.04,"duduk_bungkuk"
1976328,-14372,596,6692,471,-165,67,5.09,64.95,-4.00,64.47,9.09,0.47,569.78,-247.19,168.81,-0.75,0.63,-0.78,"duduk_bungkuk"
1976529,-14308,468,6620,576,-182,70,4.04,65.12,-4.00,64.47,8.04,0.64,569.78,-247.19,168.81,0.05,0.50,-0.75,"duduk_bungkuk"
1976729,-14492,320,6716,511,-234,58,2.73,65.11,-4.00,64.47,6.73,0.64,569.78,-247.19,168.81,-0.45,0.10,-0.85,"duduk_bungkuk"
1976931,-14408,392,6664,601,-345,34,3.37,65.14,-4.00,64.47,7.36,0.67,569.78,-247.19,168.81,0.24,-0.75,-1.03,"duduk_bungkuk"
1977135,-14340,460,6920,549,-377,-31,3.80,64.19,-4.00,64.47,7.80,-0.28,569.78,-247.19,168.81,-0.16,-0.99,-1.53,"duduk_bungkuk"
1977339,-14284,376,6896,612,-295,-117,3.12,64.20,-4.00,64.47,7.12,-0.28,569.78,-247.19,168.81,0.32,-0.36,-2.18,"duduk_bungkuk"
1977543,-14224,328,7040,640,-367,-208,2.67,63.64,-4.00,64.47,6.66,-0.83,569.78,-247.19,168.81,0.54,-0.91,-2.88,"duduk_bungkuk"
1977748,-14564,392,6704,1253,-106,-400,3.35,65.25,-4.00,64.47,7.34,0.77,569.78,-247.19,168.81,5.22,1.08,-4.34,"duduk_bungkuk"
1977953,-14456,608,7024,542,274,-129,4.95,64.00,-4.00,64.47,8.94,-0.47,569.78,-247.19,168.81,-0.21,3.98,-2.27,"duduk_bungkuk"
1978157,-14508,-680,6704,1310,780,-280,-5.79,65.09,-4.00,64.47,-1.79,0.61,569.78,-247.19,168.81,5.65,7.84,-3.43,"duduk_bungkuk"
1978361,-14596,208,6272,-82,740,160,1.90,66.74,-4.00,64.47,5.90,2.26,569.78,-247.19,168.81,-4.98,7.54,-0.07,"duduk_bungkuk"
1978562,-14436,-892,6208,2005,219,-2,-8.18,66.52,-4.00,64.47,-4.18,2.04,569.78,-247.19,168.81,10.96,3.56,-1.30,"duduk_bungkuk"
1978764,-15260,-688,5244,3426,1122,-24,-7.47,70.88,-4.00,64.47,-3.48,6.41,569.78,-247.19,168.81,21.80,10.45,-1.47,"duduk_bungkuk"
1978968,-15248,492,4612,7540,-53,-1498,6.09,73.08,-4.00,64.47,10.09,8.61,569.78,-247.19,168.81,53.21,1.48,-12.72,"duduk_bungkuk"
1979172,-15664,60,3828,10862,-1445,-4780,0.90,76.27,-4.00,64.47,4.90,11.79,569.78,-247.19,168.81,78.57,-9.14,-37.78,"duduk_bungkuk"
1979376,-16288,524,5608,10606,-2129,-3999,5.34,70.92,-4.00,64.47,9.34,6.45,569.78,-247.19,168.81,76.61,-14.36,-31.82,"duduk_bungkuk"
1979580,-14640,-4088,6056,3641,-4259,-940,-34.02,63.48,-4.00,64.47,-30.02,-1.00,569.78,-247.19,168.81,23.44,-30.62,-8.46,"duduk_bungkuk"
1979784,-12024,1396,9092,1016,-4955,400,8.73,52.58,-4.00,64.47,12.73,-11.89,569.78,-247.19,168.81,3.41,-35.94,1.76,"duduk_bungkuk"
1979985,-11856,-840,10196,1134,-3331,510,-4.71,49.21,-4.00,64.47,-0.71,-15.27,569.78,-247.19,168.81,4.31,-23.54,2.60,"duduk_bungkuk"
1980186,-11272,-336,10896,1171,-1325,226,-1.77,45.96,-4.00,64.47,2.23,-18.52,569.78,-247.19,168.81,4.59,-8.23,0.44,"duduk_bungkuk"
1980387,-11504,-616,11316,544,-399,18,-3.12,45.43,-4.00,64.47,0.88,-19.04,569.78,-247.19,168.81,-0.20,-1.16,-1.15,"duduk_bungkuk"
1980589,-11940,-444,11316,762,-265,-193,-2.25,46.51,-4.00,64.47,1.75,-17.96,569.78,-247.19,168.81,1.47,-0.14,-2.76,"duduk_bungkuk"
1980790,-11860,-312,11020,550,-119,42,-1.62,47.09,-4.00,64.47,2.38,-17.38,569.78,-247.19,168.81,-0.15,0.98,-0.97,"duduk_bungkuk"
1980994,-11928,-608,11272,628,-312,44,-3.09,46.58,-4.00,64.47,0.91,-17.90,569.78,-247.19,168.81,0.44,-0.49,-0.95,"duduk_bungkuk"
1981198,-11756,-488,11304,661,-294,-35,-2.47,46.10,-4.00,64.47,1.53,-18.38,569.78,-247.19,168.81,0.70,-0.36,-1.56,"duduk_bungkuk"
1981402,-11988,-564,11324,518,-175,81,-2.85,46.60,-4.00,64.47,1.15,-17.88,569.78,-247.19,168.81,-0.40,0.55,-0.67,"duduk_bungkuk"
1981606,-11864,-552,11140,541,-236,57,-2.84,46.77,-4.00,64.47,1.16,-17.71,569.78,-247.19,168.81,-0.22,0.09,-0.85,"duduk_bungkuk"
1981809,-11628,-460,11300,523,-327,68,-2.33,45.80,-4.00,64.47,1.67,-18.68,569.78,-247.19,168.81,-0.36,-0.61,-0.77,"duduk_bungkuk"
1982010,-11776,-504,11408,462,-262,51,-2.53,45.88,-4.00,64.47,1.47,-18.59,569.78,-247.19,168.81,-0.82,-0.11,-0.90,"duduk_bungkuk"
1982211,-11760,-528,11404,521,-179,25,-2.65,45.85,-4.00,64.47,1.35,-18.62,569.78,-247.19,168.81,-0.37,0.52,-1.10,"duduk_bungkuk"
1982412,-11764,-436,11380,668,-251,3,-2.19,45.93,-4.00,64.47,1.80,-18.54,569.78,-247.19,168.81,0.75,-0.03,-1.27,"duduk_bungkuk"
1982616,-11796,-464,11428,494,-215,0,-2.33,45.88,-4.00,64.47,1.67,-18.59,569.78,-247.19,168.81,-0.58,0.25,-1.29,"duduk_bungkuk"
1982817,-11800,-444,11352,534,-182,-51,-2.24,46.09,-4.00,64.47,1.76,-18.39,569.78,-247.19,168.81,-0.27,0.50,-1.68,"duduk_bungkuk"
1983021,-11844,-504,11408,620,-173,5,-2.53,46.05,-4.00,64.47,1.47,-18.43,569.78,-247.19,168.81,0.38,0.57,-1.25,"duduk_bungkuk"
1983225,-11748,-512,11316,542,-156,6,-2.59,46.04,-4.00,64.47,1.41,-18.43,569.78,-247.19,168.81,-0.21,0.70,-1.24,"duduk_bungkuk"
1983429,-11796,-532,11316,561,-228,-11,-2.69,46.16,-4.00,64.47,1.31,-18.32,569.78,-247.19,168.81,-0.07,0.15,-1.37,"duduk_bungkuk"
1983633,-11720,-728,11368,643,-234,58,-3.66,45.81,-4.00,64.47,0.33,-18.66,569.78,-247.19,168.81,0.56,0.10,-0.85,"duduk_bungkuk"
1983836,-11628,-632,11360,440,-268,62,-3.18,45.62,-4.00,64.47,0.81,-18.85,569.78,-247.19,168.81,-0.99,-0.16,-0.82,"duduk_bungkuk"
1984037,-11804,-688,11392,512,-229,91,-3.46,45.97,-4.00,64.47,0.54,-18.51,569.78,-247.19,168.81,-0.44,0.14,-0.59,"duduk_bungkuk"
1984237,-11616,-752,11252,497,-343,98,-3.82,45.85,-4.00,64.47,0.17,-18.63,569.78,-247.19,168.81,-0.56,-0.73,-0.54,"duduk_bungkuk"
1984438,-11736,-664,11220,471,-221,64,-3.39,46.24,-4.00,64.47,0.61,-18.24,569.78,-247.19,168.81,-0.75,0.20,-0.80,"duduk_bungkuk"
1984642,-11804,-528,11440,452,-228,67,-2.64,45.87,-4.00,64.47,1.35,-18.61,569.78,-247.19,168.81,-0.90,0.15,-0.78,"duduk_bungkuk"
1984843,-11612,-672,11416,605,-206,11,-3.37,45.44,-4.00,64.47,0.63,-19.04,569.78,-247.19,168.81,0.27,0.31,-1.20,"duduk_bungkuk"
1985047,-11616,-572,11464,543,-235,12,-2.86,45.34,-4.00,64.47,1.14,-19.13,569.78,-247.19,168.81,-0.20,0.09,-1.20,"duduk_bungkuk"
1985251,-11812,-664,11364,555,-218,-21,-3.34,46.06,-4.00,64.47,0.65,-18.42,569.78,-247.19,168.81,-0.11,0.22,-1.45,"duduk_bungkuk"
1985454,-11764,-824,11504,587,-121,-22,-4.10,45.57,-4.00,64.47,-0.10,-18.91,569.78,-247.19,168.81,0.13,0.96,-1.46,"duduk_bungkuk"
1985655,-11664,-724,11412,576,-148,1,-3.63,45.57,-4.00,64.47,0.37,-18.91,569.78,-247.19,168.81,0.05,0.76,-1.28,"duduk_bungkuk"
1985856,-11736,-728,11364,595,-136,51,-3.67,45.86,-4.00,64.47,0.33,-18.61,569.78,-247.19,168.81,0.19,0.85,-0.90,"duduk_bungkuk"
1986057,-11720,-736,11448,830,-216,-44,-3.68,45.61,-4.00,64.47,0.32,-18.86,569.78,-247.19,168.81,1.99,0.24,-1.62,"duduk_bungkuk"
1986261,-11524,-368,11468,694,-262,29,-1.84,45.12,-4.00,64.47,2.16,-19.35,569.78,-247.19,168.81,0.95,-0.11,-1.07,"duduk_bungkuk"
1986462,-11612,-572,11412,674,-398,103,-2.87,45.46,-4.00,64.47,1.13,-19.01,569.78,-247.19,168.81,0.80,-1.15,-0.50,"duduk_bungkuk"
1986663,-11500,-464,11480,622,-255,82,-2.31,45.03,-4.00,64.47,1.68,-19.45,569.78,-247.19,168.81,0.40,-0.06,-0.66,"duduk_bungkuk"
1986864,-11480,-536,11532,406,-225,95,-2.66,44.84,-4.00,64.47,1.34,-19.63,569.78,-247.19,168.81,-1.25,0.17,-0.56,"duduk_bungkuk"
1987068,-11500,-616,11560,430,-237,81,-3.05,44.81,-4.00,64.47,0.95,-19.66,569.78,-247.19,168.81,-1.07,0.08,-0.67,"duduk_bungkuk"
