timestamp,rawAccX,rawAccY,rawAccZ,rawGyroX,rawGyroY,rawGyroZ,rawKemiringanX,rawKemiringanY,offsetKemiringanX,offsetKemiringanY,kemiringanX,kemiringanY,gyroOffsetX,gyroOffsetY,gyroOffsetZ,kecepatanRotasiX,kecepatanRotasiY,kecepatanRotasiZ,label
1758192,-15464,-1340,260,594,-221,83,-79.02,84.96,-109.45,85.21,30.43,-0.26,566.03,-297.81,-13.94,0.21,0.59,0.74,"duduk_tegak"
1758397,-15472,-1356,124,557,-81,-32,-84.78,84.97,-109.45,85.21,24.67,-0.24,566.03,-297.81,-13.94,-0.07,1.66,-0.14,"duduk_tegak"
1758602,-15276,-1448,56,904,319,342,-87.79,84.58,-109.45,85.21,21.66,-0.63,566.03,-297.81,-13.94,2.58,4.71,2.72,"duduk_tegak"
1758807,-15588,-1260,48,367,-169,-96,-87.82,85.38,-109.45,85.21,21.63,0.16,566.03,-297.81,-13.94,-1.52,0.98,-0.63,"duduk_tegak"
1759012,-15668,-1456,-196,747,-340,-308,-97.67,84.64,-109.45,85.21,11.78,-0.57,566.03,-297.81,-13.94,1.38,-0.32,-2.24,"duduk_tegak"
1759217,-15488,-1472,-48,1146,-562,-89,-91.87,84.57,-109.45,85.21,17.58,-0.65,566.03,-297.81,-13.94,4.43,-2.02,-0.57,"duduk_tegak"
1759422,-15344,-1788,188,-325,-588,-27,-84.00,83.32,-109.45,85.21,25.45,-1.90,566.03,-297.81,-13.94,-6.80,-2.22,-0.10,"duduk_tegak"
1759627,-15564,-1644,396,843,-198,156,-76.46,83.80,-109.45,85.21,32.99,-1.41,566.03,-297.81,-13.94,2.11,0.76,1.30,"duduk_tegak"
1759831,-15556,-1560,356,493,-214,229,-77.14,84.13,-109.45,85.21,32.30,-1.09,566.03,-297.81,-13.94,-0.56,0.64,1.85,"duduk_tegak"
1760037,-15596,-1524,272,464,-173,174,-79.88,84.33,-109.45,85.21,29.57,-0.88,566.03,-297.81,-13.94,-0.78,0.95,1.43,"duduk_tegak"
1760241,-15608,-1452,160,665,-157,101,-83.71,84.65,-109.45,85.21,25.74,-0.56,566.03,-297.81,-13.94,0.76,1.07,0.88,"duduk_tegak"
1760446,-15416,-1460,360,554,-38,122,-76.15,84.43,-109.45,85.21,33.30,-0.79,566.03,-297.81,-13.94,-0.09,1.98,1.04,"duduk_tegak"
1760651,-15456,-1516,296,506,-183,32,-78.95,84.29,-109.45,85.21,30.50,-0.92,566.03,-297.81,-13.94,-0.46,0.88,0.35,"duduk_tegak"
1760855,-15512,-1456,224,575,-164,21,-81.25,84.58,-109.45,85.21,28.20,-0.64,566.03,-297.81,-13.94,0.07,1.02,0.27,"duduk_tegak"
1761056,-15600,-1488,296,528,-165,55,-78.75,84.45,-109.45,85.21,30.70,-0.77,566.03,-297.81,-13.94,-0.29,1.01,0.53,"duduk_tegak"
1761257,-15532,-1628,184,553,-186,13,-83.55,83.98,-109.45,85.21,25.90,-1.24,566.03,-297.81,-13.94,-0.10,0.85,0.21,"duduk_tegak"
1761460,-15408,-1496,292,555,-116,27,-78.96,84.35,-109.45,85.21,30.49,-0.86,566.03,-297.81,-13.94,-0.08,1.39,0.31,"duduk_tegak"
1761665,-15488,-1536,192,454,-183,14,-82.87,84.29,-109.45,85.21,26.57,-0.92,566.03,-297.81,-13.94,-0.86,0.88,0.21,"duduk_tegak"
1761870,-15540,-1572,284,572,-145,34,-79.76,84.13,-109.45,85.21,29.69,-1.08,566.03,-297.81,-13.94,0.05,1.17,0.37,"duduk_tegak"
1762075,-15572,-1576,292,486,-133,41,-79.50,84.12,-109.45,85.21,29.95,-1.09,566.03,-297.81,-13.94,-0.61,1.26,0.42,"duduk_tegak"
1762280,-15468,-1624,172,506,-8,118,-83.95,83.97,-109.45,85.21,25.50,-1.24,566.03,-297.81,-13.94,-0.46,2.21,1.01,"duduk_tegak"
1762484,-15464,-1608,192,555,-114,67,-83.19,84.02,-109.45,85.21,26.26,-1.19,566.03,-297.81,-13.94,-0.08,1.40,0.62,"duduk_tegak"
1762688,-15516,-1456,84,510,-143,87,-86.70,84.63,-109.45,85.21,22.75,-0.58,566.03,-297.81,-13.94,-0.43,1.18,0.77,"duduk_tegak"
1762893,-15400,-1488,68,550,-6,-18,-87.38,84.48,-109.45,85.21,22.07,-0.74,566.03,-297.81,-13.94,-0.12,2.23,-0.03,"duduk_tegak"
1763098,-15460,-1568,144,469,-106,-37,-84.75,84.18,-109.45,85.21,24.70,-1.03,566.03,-297.81,-13.94,-0.74,1.46,-0.18,"duduk_tegak"
1763303,-15620,-1572,56,575,-28,-59,-87.96,84.25,-109.45,85.21,21.49,-0.96,566.03,-297.81,-13.94,0.07,2.06,-0.34,"duduk_tegak"
1763508,-15480,-1612,48,510,-190,45,-88.29,84.05,-109.45,85.21,21.16,-1.16,566.03,-297.81,-13.94,-0.43,0.82,0.45,"duduk_tegak"
1763713,-15472,-1708,220,544,-227,57,-82.66,83.65,-109.45,85.21,26.79,-1.57,566.03,-297.81,-13.94,-0.17,0.54,0.54,"duduk_tegak"
1763917,-15404,-1476,172,561,-212,83,-83.35,84.49,-109.45,85.21,26.10,-0.72,566.03,-297.81,-13.94,-0.04,0.66,0.74,"duduk_tegak"
1764122,-15444,-1516,124,543,-123,96,-85.32,84.38,-109.45,85.21,24.13,-0.84,566.03,-297.81,-13.94,-0.18,1.33,0.84,"duduk_tegak"
1764328,-15436,-1708,-40,547,-162,27,-91.34,83.68,-109.45,85.21,18.11,-1.53,566.03,-297.81,-13.94,-0.15,1.04,0.31,"duduk_tegak"
1764532,-15508,-1584,132,531,-217,25,-85.24,84.15,-109.45,85.21,24.21,-1.07,566.03,-297.81,-13.94,-0.27,0.62,0.30,"duduk_tegak"
1764737,-15528,-1636,100,555,-184,30,-86.50,83.97,-109.45,85.21,22.95,-1.24,566.03,-297.81,-13.94,-0.08,0.87,0.34,"duduk_tegak"
1764938,-15684,-1684,-12,481,-111,108,-90.41,83.87,-109.45,85.21,19.04,-1.34,566.03,-297.81,-13.94,-0.65,1.43,0.93,"duduk_tegak"
1765142,-15604,-1640,48,526,-85,89,-88.32,84.00,-109.45,85.21,21.13,-1.22,566.03,-297.81,-13.94,-0.31,1.62,0.79,"duduk_tegak"
1765346,-15556,-1496,-28,484,-410,142,-91.07,84.51,-109.45,85.21,18.38,-0.71,566.03,-297.81,-13.94,-0.63,-0.86,1.19,"duduk_tegak"
1765550,-15576,-1540,-84,524,-211,58,-93.12,84.35,-109.45,85.21,16.33,-0.87,566.03,-297.81,-13.94,-0.32,0.66,0.55,"duduk_tegak"
1765755,-15564,-1620,-112,530,-160,42,-93.95,84.04,-109.45,85.21,15.50,-1.17,566.03,-297.81,-13.94,-0.28,1.05,0.43,"duduk_tegak"
1765959,-15592,-1620,-80,519,-419,68,-92.83,84.06,-109.45,85.21,16.62,-1.15,566.03,-297.81,-13.94,-0.36,-0.93,0.63,"duduk_tegak"
1766163,-15528,-1520,60,506,-181,47,-87.74,84.40,-109.45,85.21,21.71,-0.81,566.03,-297.81,-13.94,-0.46,0.89,0.47,"duduk_tegak"
