timestamp,rawAccX,rawAccY,rawAccZ,rawGyroX,rawGyroY,rawGyroZ,rawKemiringanX,rawKemiringanY,offsetKemiringanX,offsetKemiringanY,kemiringanX,kemiringanY,gyroOffsetX,gyroOffsetY,gyroOffsetZ,kecepatanRotasiX,kecepatanRotasiY,kecepatanRotasiZ,label
1167986,-15076,616,-2952,293,-88,42,168.21,78.69,170.69,75.28,-2.48,3.41,525.94,-464.58,62.29,-1.78,2.87,-0.15,"duduk_tegak"
1168188,-15280,664,-2888,779,-192,149,167.05,79.02,170.69,75.28,-3.64,3.75,525.94,-464.58,62.29,1.93,2.08,0.66,"duduk_tegak"
1168389,-15056,664,-2964,475,-162,62,167.37,78.59,170.69,75.28,-3.32,3.32,525.94,-464.58,62.29,-0.39,2.31,-0.00,"duduk_tegak"
1168590,-15240,824,-2804,-100,-653,18,163.62,79.14,170.69,75.28,-7.07,3.87,525.94,-464.58,62.29,-4.78,-1.44,-0.34,"duduk_tegak"
1168790,-15188,1168,-3016,894,-44,281,158.83,77.98,170.69,75.28,-11.86,2.70,525.94,-464.58,62.29,2.81,3.21,1.67,"duduk_tegak"
1168994,-15196,460,-2932,383,-282,28,171.08,78.95,170.69,75.28,0.39,3.67,525.94,-464.58,62.29,-1.09,1.39,-0.26,"duduk_tegak"
1169196,-15184,792,-2896,297,-126,-289,164.70,78.82,170.69,75.28,-5.99,3.54,525.94,-464.58,62.29,-1.75,2.58,-2.68,"duduk_tegak"
1169400,-15148,716,-2624,763,-217,138,164.74,79.82,170.69,75.28,-5.95,4.54,525.94,-464.58,62.29,1.81,1.89,0.58,"duduk_tegak"
1169604,-15268,628,-3036,537,-150,48,168.31,78.52,170.69,75.28,-2.38,3.24,525.94,-464.58,62.29,0.08,2.40,-0.11,"duduk_tegak"
1169807,-15080,632,-3004,516,-54,69,168.12,78.49,170.69,75.28,-2.57,3.21,525.94,-464.58,62.29,-0.08,3.13,0.05,"duduk_tegak"
1170010,-15080,728,-2992,577,-131,114,166.32,78.46,170.69,75.28,-4.37,3.18,525.94,-464.58,62.29,0.39,2.55,0.39,"duduk_tegak"
1170211,-15144,692,-3072,592,-373,146,167.31,78.25,170.69,75.28,-3.39,2.97,525.94,-464.58,62.29,0.50,0.70,0.64,"duduk_tegak"
1170413,-15184,864,-3104,594,-261,103,164.45,78.02,170.69,75.28,-6.25,2.74,525.94,-464.58,62.29,0.52,1.55,0.31,"duduk_tegak"
1170617,-15164,644,-3076,589,-198,52,168.18,78.29,170.69,75.28,-2.52,3.01,525.94,-464.58,62.29,0.48,2.03,-0.08,"duduk_tegak"
1170821,-15096,688,-2904,528,-230,8,166.67,78.82,170.69,75.28,-4.02,3.54,525.94,-464.58,62.29,0.02,1.79,-0.41,"duduk_tegak"
1171025,-15044,616,-3044,508,-125,91,168.56,78.34,170.69,75.28,-2.13,3.06,525.94,-464.58,62.29,-0.14,2.59,0.22,"duduk_tegak"
1171229,-15084,800,-2984,791,-242,9,164.99,78.43,170.69,75.28,-5.70,3.15,525.94,-464.58,62.29,2.02,1.70,-0.41,"duduk_tegak"
1171433,-15220,544,-3056,524,-132,95,169.91,78.47,170.69,75.28,-0.79,3.19,525.94,-464.58,62.29,-0.01,2.54,0.25,"duduk_tegak"
1171636,-15176,712,-3104,598,-56,125,167.08,78.15,170.69,75.28,-3.61,2.87,525.94,-464.58,62.29,0.55,3.12,0.48,"duduk_tegak"
