timestamp,rawAccX,rawAccY,rawAccZ,rawGyroX,rawGyroY,rawGyroZ,rawKemiringanX,rawKemiringanY,offsetKemiringanX,offsetKemiringanY,kemiringanX,kemiringanY,gyroOffsetX,gyroOffsetY,gyroOffsetZ,kecepatanRotasiX,kecepatanRotasiY,kecepatanRotasiZ,label
655860,-14056,560,-6460,582,-488,297,175.05,65.24,174.40,65.25,0.64,-0.02,654.43,-210.87,107.29,-0.55,-2.12,1.45,"jalan_tegak"
656064,-14124,372,-6424,1148,-586,654,176.69,65.51,174.40,65.25,2.28,0.25,654.43,-210.87,107.29,3.77,-2.86,4.17,"jalan_tegak"
656266,-14084,404,-6464,1759,-379,764,176.42,65.30,174.40,65.25,2.02,0.05,654.43,-210.87,107.29,8.43,-1.28,5.01,"jalan_tegak"
656467,-14032,764,-6448,1410,-68,578,173.24,65.17,174.40,65.25,-1.16,-0.09,654.43,-210.87,107.29,5.77,1.09,3.59,"jalan_tegak"
656671,-13744,808,-6336,318,-92,278,172.73,65.07,174.40,65.25,-1.67,-0.18,654.43,-210.87,107.29,-2.57,0.91,1.30,"jalan_tegak"
656875,-14096,804,-6336,-59,-82,-148,172.77,65.63,174.40,65.25,-1.63,0.37,654.43,-210.87,107.29,-5.45,0.98,-1.95,"jalan_tegak"
657079,-13908,452,-6300,186,-373,-448,175.90,65.58,174.40,65.25,1.49,0.32,654.43,-210.87,107.29,-3.58,-1.24,-4.24,"jalan_tegak"
657283,-14404,536,-6164,-17,-76,-746,175.03,66.75,174.40,65.25,0.63,1.50,654.43,-210.87,107.29,-5.13,1.03,-6.51,"jalan_tegak"
657487,-14156,220,-6160,-220,-409,-510,177.95,66.47,174.40,65.25,3.55,1.22,654.43,-210.87,107.29,-6.68,-1.51,-4.71,"jalan_tegak"
657691,-15112,-20,-5200,2428,-1278,1129,-179.78,71.01,174.40,65.25,-354.18,5.76,654.43,-210.87,107.29,13.54,-8.15,7.80,"jalan_tegak"
657892,-13596,692,-5320,5815,64,2364,172.59,68.47,174.40,65.25,-1.81,3.21,654.43,-210.87,107.29,39.39,2.10,17.23,"jalan_tegak"
658094,-14576,1372,-5572,8709,340,3048,166.17,68.51,174.40,65.25,-8.23,3.26,654.43,-210.87,107.29,61.49,4.21,22.45,"jalan_tegak"
658298,-14216,2752,-5568,9009,-717,3716,153.70,66.40,174.40,65.25,-20.70,1.14,654.43,-210.87,107.29,63.78,-3.86,27.55,"jalan_tegak"
658502,-11304,284,-6332,6855,-1667,3760,177.43,60.72,174.40,65.25,3.03,-4.53,654.43,-210.87,107.29,47.33,-11.12,27.88,"jalan_tegak"
658706,-14504,-1120,-6612,7920,91,3514,-170.39,65.19,174.40,65.25,-344.79,-0.07,654.43,-210.87,107.29,55.46,2.30,26.01,"jalan_tegak"
658907,-14392,220,-6440,7311,-884,2059,178.04,65.88,174.40,65.25,3.64,0.63,654.43,-210.87,107.29,50.81,-5.14,14.90,"jalan_tegak"
659111,-13760,-456,-5976,4567,-1340,2782,-175.64,66.46,174.40,65.25,-350.04,1.21,654.43,-210.87,107.29,29.87,-8.62,20.42,"jalan_tegak"
659315,-13216,3056,-4292,1196,1465,2565,144.55,68.26,174.40,65.25,-29.85,3.01,654.43,-210.87,107.29,4.13,12.79,18.76,"jalan_tegak"
659519,-14996,2372,-5784,-521,-534,-627,157.70,67.37,174.40,65.25,-16.70,2.12,654.43,-210.87,107.29,-8.97,-2.47,-5.61,"jalan_tegak"
659720,-13940,2464,-6056,-1322,-85,-1633,157.86,64.87,174.40,65.25,-16.54,-0.38,654.43,-210.87,107.29,-15.09,0.96,-13.28,"jalan_tegak"
659921,-13264,2284,-5904,-2984,1125,-1830,158.85,64.49,174.40,65.25,-15.55,-0.77,654.43,-210.87,107.29,-27.77,10.20,-14.79,"jalan_tegak"
660122,-17120,-2948,-6264,-4474,-460,-2921,-154.80,67.98,174.40,65.25,-329.20,2.73,654.43,-210.87,107.29,-39.15,-1.90,-23.12,"jalan_tegak"
660326,-13776,-1304,-5736,-649,443,-1107,-167.19,66.88,174.40,65.25,-341.59,1.62,654.43,-210.87,107.29,-9.95,4.99,-9.27,"jalan_tegak"
660530,-14556,-756,-5568,-631,-527,-94,-172.27,68.89,174.40,65.25,-346.67,3.64,654.43,-210.87,107.29,-9.81,-2.41,-1.54,"jalan_tegak"
660734,-15528,1408,-5720,635,782,533,166.17,69.23,174.40,65.25,-8.23,3.97,654.43,-210.87,107.29,-0.15,7.58,3.25,"jalan_tegak"
660938,-14164,2692,-6856,1243,-772,183,158.56,62.52,174.40,65.25,-15.84,-2.73,654.43,-210.87,107.29,4.49,-4.28,0.58,"jalan_tegak"
661142,-13708,1772,-6108,313,963,-686,163.82,65.11,174.40,65.25,-10.58,-0.14,654.43,-210.87,107.29,-2.61,8.96,-6.06,"jalan_tegak"
661346,-13800,1540,-6520,851,708,-481,166.71,64.11,174.40,65.25,-7.69,-1.15,654.43,-210.87,107.29,1.50,7.01,-4.49,"jalan_tegak"
661550,-12256,2008,-6656,1933,-830,639,163.21,60.44,174.40,65.25,-11.19,-4.82,654.43,-210.87,107.29,9.76,-4.73,4.06,"jalan_tegak"
661754,-13124,-792,-7252,1299,102,346,-173.77,60.93,174.40,65.25,-348.17,-4.32,654.43,-210.87,107.29,4.92,2.39,1.82,"jalan_tegak"
661958,-14132,-904,-6344,1185,-507,37,-171.89,65.61,174.40,65.25,-346.29,0.35,654.43,-210.87,107.29,4.05,-2.26,-0.54,"jalan_tegak"
662166,-14168,-540,-6224,-344,-479,-70,-175.04,66.20,174.40,65.25,-349.44,0.95,654.43,-210.87,107.29,-7.62,-2.05,-1.35,"jalan_tegak"
662369,-14440,-268,-6284,-1052,200,-230,-177.56,66.46,174.40,65.25,-351.96,1.21,654.43,-210.87,107.29,-13.03,3.14,-2.57,"jalan_tegak"
662573,-13964,-40,-6024,-430,122,-174,-179.62,66.66,174.40,65.25,-354.02,1.41,654.43,-210.87,107.29,-8.28,2.54,-2.15,"jalan_tegak"
662777,-13944,840,-6212,353,-98,143,172.30,65.79,174.40,65.25,-2.10,0.54,654.43,-210.87,107.29,-2.30,0.86,0.27,"jalan_tegak"
662981,-14412,708,-7380,3428,-1099,2453,174.52,62.78,174.40,65.25,0.12,-2.48,654.43,-210.87,107.29,21.17,-6.78,17.91,"jalan_tegak"
663185,-13508,1368,-7236,5304,-2386,2231,169.29,61.40,174.40,65.25,-5.11,-3.85,654.43,-210.87,107.29,35.49,-16.60,16.21,"jalan_tegak"
663387,-13128,1560,-7136,4944,-1027,1369,167.67,60.91,174.40,65.25,-6.73,-4.35,654.43,-210.87,107.29,32.74,-6.23,9.63,"jalan_tegak"
663588,-18360,1492,-6248,3348,-885,1380,166.57,70.72,174.40,65.25,-7.83,5.46,654.43,-210.87,107.29,20.56,-5.15,9.72,"jalan_tegak"
663789,-14728,-3500,-4248,-367,-1384,-696,-140.51,69.51,174.40,65.25,-314.92,4.25,654.43,-210.87,107.29,-7.80,-8.96,-6.13,"jalan_tegak"
663990,-13248,-108,-6256,-1478,-137,-160,-179.01,64.72,174.40,65.25,-353.41,-0.54,654.43,-210.87,107.29,-16.28,0.56,-2.04,"jalan_tegak"
664194,-13668,-1652,-5756,647,796,577,-163.99,66.34,174.40,65.25,-338.39,1.09,654.43,-210.87,107.29,-0.06,7.69,3.59,"jalan_tegak"
664398,-13748,280,-4352,776,359,-102,176.32,72.40,174.40,65.25,1.92,7.15,654.43,-210.87,107.29,0.93,4.35,-1.60,"jalan_tegak"
664602,-13800,4228,-5100,-6041,360,-1642,140.34,64.36,174.40,65.25,-34.06,-0.90,654.43,-210.87,107.29,-51.11,4.36,-13.35,"jalan_tegak"
664806,-13508,1144,-7708,-7342,197,-5334,171.56,60.02,174.40,65.25,-2.84,-5.23,654.43,-210.87,107.29,-61.04,3.11,-41.54,"jalan_tegak"
665010,-24920,-5408,-6824,-6647,873,-3881,-141.60,70.74,174.40,65.25,-316.00,5.49,654.43,-210.87,107.29,-55.74,8.27,-30.44,"jalan_tegak"
665213,-14176,-5244,-6584,-2953,-813,-2115,-141.46,59.30,174.40,65.25,-315.86,-5.95,654.43,-210.87,107.29,-27.54,-4.60,-16.96,"jalan_tegak"
665414,-13444,-2480,-6612,-4111,-477,-1511,-159.44,62.29,174.40,65.25,-333.84,-2.97,654.43,-210.87,107.29,-36.38,-2.03,-12.35,"jalan_tegak"
665615,-27072,3340,-6064,-721,1996,227,151.15,75.66,174.40,65.25,-23.25,10.40,654.43,-210.87,107.29,-10.50,16.85,0.91,"jalan_tegak"
665816,-14124,2496,-5656,-2497,337,-2053,156.19,66.36,174.40,65.25,-18.21,1.11,654.43,-210.87,107.29,-24.06,4.18,-16.49,"jalan_tegak"
666020,-12752,488,-6420,-1843,-694,-1789,175.65,63.21,174.40,65.25,1.25,-2.04,654.43,-210.87,107.29,-19.06,-3.69,-14.48,"jalan_tegak"
666224,-12816,1208,-8140,-1434,1703,-1109,171.56,57.30,174.40,65.25,-2.84,-7.96,654.43,-210.87,107.29,-15.94,14.61,-9.28,"jalan_tegak"
666428,-14572,-3560,-4592,-3941,232,-1772,-142.21,68.26,174.40,65.25,-316.62,3.01,654.43,-210.87,107.29,-35.08,3.38,-14.35,"jalan_tegak"
666632,-13536,-3084,-5136,1378,-629,-351,-149.02,66.13,174.40,65.25,-323.42,0.87,654.43,-210.87,107.29,5.52,-3.19,-3.50,"jalan_tegak"
666836,-13660,-1368,-7440,4221,-269,1918,-169.58,61.02,174.40,65.25,-343.98,-4.23,654.43,-210.87,107.29,27.23,-0.44,13.82,"jalan_tegak"
667040,-10972,-1356,-8116,4104,1245,2156,-170.51,53.13,174.40,65.25,-344.92,-12.12,654.43,-210.87,107.29,26.33,11.11,15.64,"jalan_tegak"
