timestamp,rawAccX,rawAccY,rawAccZ,rawGyroX,rawGyroY,rawGyroZ,rawKemiringanX,rawKemiringanY,offsetKemiringanX,offsetKemiringanY,kemiringanX,kemiringanY,gyroOffsetX,gyroOffsetY,gyroOffsetZ,kecepatanRotasiX,kecepatanRotasiY,kecepatanRotasiZ,label
285234,-14896,1328,-6804,296,-571,-418,168.96,65.04,-168.98,64.68,337.93,0.36,975.48,-35.07,94.73,-5.19,-4.09,-3.91,jalan_tegak
285439,-14628,1248,-6788,2249,59,822,169.58,64.74,-168.98,64.68,338.56,0.06,975.48,-35.07,94.73,9.72,0.72,5.55,jalan_tegak
285644,-13728,-128,-6584,4763,1995,2209,-178.89,64.37,-168.98,64.68,-9.91,-0.31,975.48,-35.07,94.73,28.91,15.5,16.14,jalan_tegak
285849,-13296,-2812,-6324,3371,-39,1442,-156.03,62.5,-168.98,64.68,12.95,-2.18,975.48,-35.07,94.73,18.29,-0.03,10.28,jalan_tegak
286050,-15652,-1464,-10212,-680,-2874,1144,-171.84,56.61,-168.98,64.68,-2.87,-8.07,975.48,-35.07,94.73,-12.64,-21.67,8.01,jalan_tegak
286251,-13164,3780,-6876,2069,1575,-177,151.2,59.2,-168.98,64.68,320.18,-5.48,975.48,-35.07,94.73,8.35,12.29,-2.07,jalan_tegak
286452,-13516,3508,-4856,7658,-2349,2235,144.16,66.1,-168.98,64.68,313.13,1.41,975.48,-35.07,94.73,51.01,-17.66,16.34,jalan_tegak
286656,-15840,-332,-8568,6601,151,3971,-177.78,61.57,-168.98,64.68,-8.8,-3.11,975.48,-35.07,94.73,42.94,1.42,29.59,jalan_tegak
286857,-14468,-3696,-7044,4770,1194,1396,-152.31,61.2,-168.98,64.68,16.66,-3.49,975.48,-35.07,94.73,28.97,9.38,9.93,jalan_tegak
287062,-13768,-5164,-4672,4980,-1554,3132,-132.14,63.17,-168.98,64.68,36.84,-1.51,975.48,-35.07,94.73,30.57,-11.59,23.19,jalan_tegak
287266,-12788,-1192,-3888,6147,-561,3484,-162.96,72.36,-168.98,64.68,6.02,7.67,975.48,-35.07,94.73,39.48,-4.01,25.87,jalan_tegak
287470,-12824,284,-4180,7304,-1027,3111,176.11,71.91,-168.98,64.68,345.09,7.22,975.48,-35.07,94.73,48.31,-7.57,23.02,jalan_tegak
287674,-16096,1612,-4920,5717,2348,2297,161.86,72.17,-168.98,64.68,330.84,7.48,975.48,-35.07,94.73,36.19,18.19,16.81,jalan_tegak
287878,-14588,1352,-4524,5888,1332,2328,163.36,72.06,-168.98,64.68,332.34,7.38,975.48,-35.07,94.73,37.5,10.44,17.05,jalan_tegak
288079,-14804,-668,-6376,6441,-63,2003,-174.02,66.58,-168.98,64.68,-5.04,1.9,975.48,-35.07,94.73,41.72,-0.21,14.57,jalan_tegak
288280,-17844,348,-5752,6447,-4927,984,176.54,72.1,-168.98,64.68,345.51,7.42,975.48,-35.07,94.73,41.77,-37.34,6.79,jalan_tegak
288481,-16848,-4648,-6592,6767,1348,3412,-144.81,64.42,-168.98,64.68,24.16,-0.27,975.48,-35.07,94.73,44.21,10.56,25.32,jalan_tegak
288686,-14984,-3200,-4596,4561,21,3854,-145.15,69.51,-168.98,64.68,23.82,4.82,975.48,-35.07,94.73,27.37,0.43,28.7,jalan_tegak
288890,-15136,-1000,-8204,2983,83,2079,-173.05,61.36,-168.98,64.68,-4.07,-3.32,975.48,-35.07,94.73,15.32,0.9,15.15,jalan_tegak
289094,-12612,284,-10584,-60,-3195,1495,178.46,49.99,-168.98,64.68,347.44,-14.7,975.48,-35.07,94.73,-7.9,-24.12,10.69,jalan_tegak
289298,-12936,2084,-6208,-1237,743,-1575,161.44,63.15,-168.98,64.68,330.42,-1.53,975.48,-35.07,94.73,-16.89,5.94,-12.75,jalan_tegak
289502,-14304,1564,-3824,2268,-638,-423,157.76,73.89,-168.98,64.68,326.73,9.2,975.48,-35.07,94.73,9.87,-4.6,-3.95,jalan_tegak
289703,-18128,-1152,-5168,1810,-4257,68,-167.43,73.72,-168.98,64.68,1.54,9.03,975.48,-35.07,94.73,6.37,-32.23,-0.2,jalan_tegak
289904,-15872,-2112,-7284,3318,2625,2218,-163.83,64.46,-168.98,64.68,5.15,-0.22,975.48,-35.07,94.73,17.88,20.31,16.21,jalan_tegak
290105,-14020,-2096,-5136,920,-73,1295,-157.8,68.41,-168.98,64.68,11.18,3.73,975.48,-35.07,94.73,-0.42,-0.29,9.16,jalan_tegak
290310,-16316,-1196,-5992,-438,-2217,1136,-168.71,69.47,-168.98,64.68,0.26,4.78,975.48,-35.07,94.73,-10.79,-16.66,7.95,jalan_tegak
