timestamp,rawAccX,rawAccY,rawAccZ,rawGyroX,rawGyroY,rawGyroZ,rawKemiringanX,rawKemiringanY,offsetKemiringanX,offsetKemiringanY,kemiringanX,kemiringanY,gyroOffsetX,gyroOffsetY,gyroOffsetZ,kecepatanRotasiX,kecepatanRotasiY,kecepatanRotasiZ,label
219196,-10196,460,12636,965,238,-647,2.08,38.88,3.80,37.82,-1.71,1.06,512.43,-185.46,89.97,3.45,3.23,-5.63,"jalan_bungkuk"
219400,-10288,996,12876,878,-93,230,4.42,38.54,3.80,37.82,0.63,0.72,512.43,-185.46,89.97,2.79,0.71,1.07,"jalan_bungkuk"
219604,-10612,812,12640,752,198,-306,3.68,39.96,3.80,37.82,-0.12,2.14,512.43,-185.46,89.97,1.83,2.93,-3.02,"jalan_bungkuk"
219808,-10432,400,12476,579,160,-570,1.84,39.89,3.80,37.82,-1.96,2.07,512.43,-185.46,89.97,0.51,2.64,-5.04,"jalan_bungkuk"
220012,-11060,440,12124,566,29,11,2.08,42.35,3.80,37.82,-1.72,4.53,512.43,-185.46,89.97,0.41,1.64,-0.60,"jalan_bungkuk"
220216,-10360,1088,12848,1066,-374,450,4.84,38.78,3.80,37.82,1.04,0.96,512.43,-185.46,89.97,4.23,-1.44,2.75,"jalan_bungkuk"
220420,-10592,336,12540,874,-405,-792,1.53,40.18,3.80,37.82,-2.26,2.35,512.43,-185.46,89.97,2.76,-1.68,-6.73,"jalan_bungkuk"
220624,-10604,96,12204,2937,-129,-1125,0.45,40.99,3.80,37.82,-3.35,3.17,512.43,-185.46,89.97,18.51,0.43,-9.27,"jalan_bungkuk"
220828,-11428,2860,12028,2093,-554,-3992,13.38,42.75,3.80,37.82,9.58,4.93,512.43,-185.46,89.97,12.07,-2.81,-31.16,"jalan_bungkuk"
221032,-10076,1064,12428,5194,292,-4006,4.89,38.93,3.80,37.82,1.10,1.11,512.43,-185.46,89.97,35.74,3.64,-31.27,"jalan_bungkuk"
221236,-11000,-2448,12540,4803,-161,-4596,-11.05,40.73,3.80,37.82,-14.84,2.91,512.43,-185.46,89.97,32.75,0.19,-35.77,"jalan_bungkuk"
221440,-10944,-788,12192,6471,-393,-5140,-3.70,41.85,3.80,37.82,-7.49,4.03,512.43,-185.46,89.97,45.49,-1.58,-39.92,"jalan_bungkuk"
221644,-10888,-124,12368,3127,86,-1555,-0.57,41.36,3.80,37.82,-4.37,3.54,512.43,-185.46,89.97,19.96,2.07,-12.56,"jalan_bungkuk"
221848,-9960,-1196,11428,2048,2111,1257,-5.97,40.92,3.80,37.82,-9.77,3.10,512.43,-185.46,89.97,11.72,17.53,8.91,"jalan_bungkuk"
222050,-11652,3024,12704,-3222,-45,2594,13.39,41.74,3.80,37.82,9.59,3.92,512.43,-185.46,89.97,-28.51,1.07,19.11,"jalan_bungkuk"
222251,-11340,576,12420,-1731,-1362,2219,2.66,42.37,3.80,37.82,-1.14,4.55,512.43,-185.46,89.97,-17.13,-8.98,16.25,"jalan_bungkuk"
222455,-10192,1540,12944,108,-698,1123,6.78,38.02,3.80,37.82,2.99,0.20,512.43,-185.46,89.97,-3.09,-3.91,7.89,"jalan_bungkuk"
222659,-10176,1208,12604,-560,-24,2214,5.47,38.79,3.80,37.82,1.68,0.97,512.43,-185.46,89.97,-8.19,1.23,16.21,"jalan_bungkuk"
222863,-10304,-168,12660,-986,-532,1553,-0.76,39.14,3.80,37.82,-4.56,1.32,512.43,-185.46,89.97,-11.44,-2.65,11.17,"jalan_bungkuk"
223067,-10052,356,13048,-361,-216,1470,1.56,37.60,3.80,37.82,-2.23,-0.22,512.43,-185.46,89.97,-6.67,-0.23,10.53,"jalan_bungkuk"
223271,-10564,864,12760,-589,557,1261,3.87,39.56,3.80,37.82,0.08,1.74,512.43,-185.46,89.97,-8.41,5.67,8.94,"jalan_bungkuk"
223475,-10620,636,12656,-736,-158,1251,2.88,39.97,3.80,37.82,-0.92,2.14,512.43,-185.46,89.97,-9.53,0.21,8.86,"jalan_bungkuk"
223679,-10380,996,12744,-133,-311,949,4.47,39.08,3.80,37.82,0.67,1.26,512.43,-185.46,89.97,-4.93,-0.96,6.56,"jalan_bungkuk"
223883,-10316,888,12932,84,-682,514,3.93,38.51,3.80,37.82,0.13,0.69,512.43,-185.46,89.97,-3.27,-3.79,3.24,"jalan_bungkuk"
224087,-10104,912,13100,492,-443,184,3.98,37.58,3.80,37.82,0.19,-0.25,512.43,-185.46,89.97,-0.16,-1.97,0.72,"jalan_bungkuk"
224291,-10172,712,13156,588,-468,-70,3.10,37.67,3.80,37.82,-0.70,-0.15,512.43,-185.46,89.97,0.58,-2.16,-1.22,"jalan_bungkuk"
224495,-9976,848,13356,374,-301,213,3.63,36.70,3.80,37.82,-0.16,-1.12,512.43,-185.46,89.97,-1.06,-0.88,0.94,"jalan_bungkuk"
224699,-9920,772,13056,484,-137,389,3.38,37.18,3.80,37.82,-0.41,-0.64,512.43,-185.46,89.97,-0.22,0.37,2.28,"jalan_bungkuk"
224903,-10180,876,12988,279,-22,386,3.86,38.03,3.80,37.82,0.06,0.20,512.43,-185.46,89.97,-1.78,1.25,2.26,"jalan_bungkuk"
225107,-10160,876,13208,383,-103,440,3.79,37.51,3.80,37.82,-0.00,-0.31,512.43,-185.46,89.97,-0.99,0.63,2.67,"jalan_bungkuk"
225308,-10108,860,12976,395,-129,284,3.79,37.86,3.80,37.82,-0.00,0.04,512.43,-185.46,89.97,-0.90,0.43,1.48,"jalan_bungkuk"
225514,-10140,896,12932,376,-141,371,3.96,38.03,3.80,37.82,0.17,0.21,512.43,-185.46,89.97,-1.04,0.34,2.15,"jalan_bungkuk"
225718,-10084,588,12944,1145,28,-610,2.60,37.89,3.80,37.82,-1.20,0.07,512.43,-185.46,89.97,4.83,1.63,-5.34,"jalan_bungkuk"
225922,-10384,760,12672,3141,248,-1867,3.43,39.28,3.80,37.82,-0.36,1.46,512.43,-185.46,89.97,20.07,3.31,-14.94,"jalan_bungkuk"
226126,-10972,2328,12924,4241,-591,-4063,10.21,39.88,3.80,37.82,6.41,2.06,512.43,-185.46,89.97,28.46,-3.10,-31.70,"jalan_bungkuk"
226330,-10880,2880,12780,3703,225,-5057,12.70,39.71,3.80,37.82,8.90,1.89,512.43,-185.46,89.97,24.36,3.13,-39.29,"jalan_bungkuk"
226534,-11928,-1492,11432,7604,927,-6897,-7.44,45.97,3.80,37.82,-11.23,8.15,512.43,-185.46,89.97,54.13,8.49,-53.34,"jalan_bungkuk"
226738,-12172,1684,12324,5673,559,-6074,7.78,44.38,3.80,37.82,3.98,6.56,512.43,-185.46,89.97,39.39,5.68,-47.05,"jalan_bungkuk"
226942,-11260,1064,9344,4032,4122,-1921,6.50,50.13,3.80,37.82,2.70,12.31,512.43,-185.46,89.97,26.87,32.88,-15.35,"jalan_bungkuk"
227146,-12912,176,6752,2193,2477,-599,1.49,62.39,3.80,37.82,-2.30,24.56,512.43,-185.46,89.97,12.83,20.32,-5.26,"jalan_bungkuk"
227350,-13372,-460,9272,2887,1381,-2471,-2.84,55.23,3.80,37.82,-6.64,17.41,512.43,-185.46,89.97,18.13,11.96,-19.55,"jalan_bungkuk"
227554,-13040,3416,8156,1063,1059,-148,22.73,55.86,3.80,37.82,18.93,18.04,512.43,-185.46,89.97,4.20,9.50,-1.82,"jalan_bungkuk"
227758,-13536,176,6040,-1071,549,-74,1.67,65.94,3.80,37.82,-2.13,28.12,512.43,-185.46,89.97,-12.09,5.61,-1.25,"jalan_bungkuk"
227962,-11632,2572,8344,-73,723,1300,17.13,53.11,3.80,37.82,13.34,15.29,512.43,-185.46,89.97,-4.47,6.93,9.24,"jalan_bungkuk"
228165,-14076,2100,5596,-2723,3418,1803,20.57,66.99,3.80,37.82,16.77,29.17,512.43,-185.46,89.97,-24.70,27.51,13.08,"jalan_bungkuk"
228366,-15200,-288,4788,-1837,1090,2147,-3.44,72.49,3.80,37.82,-7.24,34.66,512.43,-185.46,89.97,-17.93,9.74,15.70,"jalan_bungkuk"
228567,-16904,3792,5768,-1460,69,-4079,33.32,67.79,3.80,37.82,29.53,29.97,512.43,-185.46,89.97,-15.06,1.94,-31.82,"jalan_bungkuk"
260531,-15044,-3456,1324,-2518,1061,87,-69.04,76.18,3.80,37.82,-72.83,38.36,512.43,-185.46,89.97,-23.13,9.51,-0.02,"jalan_bungkuk"
260734,-13296,-1168,-1824,2104,1275,1342,-147.37,80.75,3.80,37.82,-151.16,42.93,512.43,-185.46,89.97,12.15,11.15,9.56,"jalan_bungkuk"
260938,-19100,-1144,1164,1836,1655,-1067,-44.50,85.12,3.80,37.82,-48.30,47.29,512.43,-185.46,89.97,10.10,14.05,-8.83,"jalan_bungkuk"
261142,-14872,2564,592,19,-842,-723,77.00,79.97,3.80,37.82,73.20,42.14,512.43,-185.46,89.97,-3.77,-5.01,-6.21,"jalan_bungkuk"
261346,-15300,-80,-200,-1394,-1477,-1167,-158.20,89.19,3.80,37.82,-162.00,51.37,512.43,-185.46,89.97,-14.55,-9.86,-9.60,"jalan_bungkuk"
261547,-12584,1700,2620,-3907,-2361,-4,32.98,76.06,3.80,37.82,29.18,38.24,512.43,-185.46,89.97,-33.74,-16.61,-0.72,"jalan_bungkuk"
261748,-15284,196,1632,-3192,-19,261,6.85,83.86,3.80,37.82,3.05,46.04,512.43,-185.46,89.97,-28.28,1.27,1.31,"jalan_bungkuk"
261949,-15288,-2404,1020,588,67,1271,-67.01,80.31,3.80,37.82,-70.81,42.49,512.43,-185.46,89.97,0.58,1.93,9.02,"jalan_bungkuk"
262152,-15348,-1748,-384,4718,-948,1864,-102.39,83.35,3.80,37.82,-106.19,45.53,512.43,-185.46,89.97,32.10,-5.82,13.54,"jalan_bungkuk"
262353,-13160,1520,3164,5013,-2541,1403,25.66,75.07,3.80,37.82,21.86,37.24,512.43,-185.46,89.97,34.36,-17.98,10.02,"jalan_bungkuk"
262554,-14796,2128,2500,-340,466,-1296,40.40,77.49,3.80,37.82,36.61,39.67,512.43,-185.46,89.97,-6.51,4.97,-10.58,"jalan_bungkuk"
