timestamp,rawAccX,rawAccY,rawAccZ,rawGyroX,rawGyroY,rawGyroZ,rawKemiringanX,rawKemiringanY,offsetKemiringanX,offsetKemiringanY,kemiringanX,kemiringanY,gyroOffsetX,gyroOffsetY,gyroOffsetZ,kecepatanRotasiX,kecepatanRotasiY,kecepatanRotasiZ,label
585793,-11172,-804,12120,353,-243,305,-3.80,42.61,3.80,37.82,-7.59,4.79,512.43,-185.46,89.97,-1.22,-0.44,1.64,jalan_bungkuk1792930,-13672,-1116,-8524,525,-293,22,-172.54,57.84,-172.98,65.66,0.44,-7.82,514.03,-233.62,33.35,0.08,-0.45,-0.09,jalan_bungkuk
1793133,-13584,-980,-7508,597,-453,11,-172.56,60.86,-172.98,65.66,0.42,-4.8,514.03,-233.62,33.35,0.63,-1.67,-0.17,jalan_bungkuk
1793336,-12944,-1160,-6800,480,-257,86,-170.32,61.95,-172.98,65.66,2.66,-3.71,514.03,-233.62,33.35,-0.26,-0.18,0.4,jalan_bungkuk
1793539,-13968,-820,-5596,447,-265,69,-171.66,67.96,-172.98,65.66,1.32,2.3,514.03,-233.62,33.35,-0.51,-0.24,0.27,jalan_bungkuk
1793742,-13976,-500,-6272,509,-185,37,-175.44,65.76,-172.98,65.66,-2.46,0.1,514.03,-233.62,33.35,-0.04,0.37,0.03,jalan_bungkuk
1793945,-14376,-620,-6280,517,-191,24,-174.36,66.3,-172.98,65.66,-1.38,0.64,514.03,-233.62,33.35,0.02,0.33,-0.07,jalan_bungkuk
1794148,-13936,-888,-7752,537,59,55,-173.47,60.76,-172.98,65.66,-0.48,-4.9,514.03,-233.62,33.35,0.18,2.23,0.17,jalan_bungkuk
1794352,-13892,-844,-7680,561,-64,49,-173.73,60.92,-172.98,65.66,-0.75,-4.74,514.03,-233.62,33.35,0.36,1.29,0.12,jalan_bungkuk
1794556,-13636,-952,-8548,563,-272,37,-173.65,57.76,-172.98,65.66,-0.66,-7.9,514.03,-233.62,33.35,0.37,-0.29,0.03,jalan_bungkuk
1794760,-14672,-920,-6580,638,-247,43,-172.04,65.64,-172.98,65.66,0.94,-0.02,514.03,-233.62,33.35,0.95,-0.1,0.07,jalan_bungkuk
1794964,-13660,-1060,-7408,611,-340,17,-171.86,61.28,-172.98,65.66,1.12,-4.38,514.03,-233.62,33.35,0.74,-0.81,-0.12,jalan_bungkuk
1795168,-13828,-988,-7016,526,-189,58,-171.98,62.87,-172.98,65.66,1.0,-2.79,514.03,-233.62,33.35,0.09,0.34,0.19,jalan_bungkuk
1795371,-13036,-860,-6872,481,-272,86,-172.87,62.02,-172.98,65.66,0.11,-3.64,514.03,-233.62,33.35,-0.25,-0.29,0.4,jalan_bungkuk
1795574,-13900,-508,-6144,467,-216,23,-175.27,66.08,-172.98,65.66,-2.29,0.42,514.03,-233.62,33.35,-0.36,0.13,-0.08,jalan_bungkuk
1795777,-14228,-372,-7084,520,-194,95,-176.99,63.5,-172.98,65.66,-4.01,-2.16,514.03,-233.62,33.35,0.05,0.3,0.47,jalan_bungkuk
1795981,-14432,-604,-6228,563,-261,53,-174.46,66.56,-172.98,65.66,-1.48,0.9,514.03,-233.62,33.35,0.37,-0.21,0.15,jalan_bungkuk
